DENOMINACION,TIPOVIA,PARTICULA,NOMBREVIA,DISTRITO,X,Y,GRADOACCESIBILIDAD,LINEAS
MELCHOR FDEZ.ALMAGRO-AV.FERROL,Calle,de,Melchor Fernández Almagro,8.0,440178.0,4481064.0,T,147
MELCHOR FDEZ.ALMAGRO-AV.BETANZOS,Calle,de,Melchor Fernández Almagro,8.0,439898.0,4480990.0,T,147
CTRA.VILLAVERDE A VALLECAS-UNANIMIDAD,Ctra,de,Villaverde a Vallecas,17.0,441966.0,4467907.0,T,"23, 130"
MONFORTE DE LEMOS Nº 163,Avda,de,Monforte de Lemos,8.0,439533.0,4481159.0,T,"126, 132, 137, 147"
AV.BETANZOS-LA BAÑEZA,Avda,de,Betanzos,8.0,439781.0,4481077.0,T,"42, 49, 126, 128, 147"
EMBAJADORES-CAJA MÁGICA,Calle,de los,Embajadores,13.0,442353.0,4469296.0,T,"180, T32"
AV. PLANETARIO-MENESES,Avda,del,Planetario,2.0,442163.0,4471876.0,T,"148, 156, N13"
LA MASO-SALOU,Calle,de,La Maso,8.0,439569.0,4482234.0,T,134
EMBAJADORES-CAJA MÁGICA,Calle,de los,Embajadores,13.0,442359.0,4469343.0,T,T32
MONFORTE DE LEMOS-PARQUE BOMBEROS,Avda,de,Monforte de Lemos,8.0,440734.0,4481463.0,T,"134, 137"
SAN MODESTO-HOSPITAL RAMON Y CAJAL,Calle,de,San Modesto,8.0,441365.0,4482138.0,T,135
HOSPITAL RAMON Y CAJAL,Calle,de,San Modesto,8.0,441319.0,4482336.0,T,"125, 135, 165, 166"
ANTONIO ROBLES-HOSPITAL RAMON Y CAJAL,Calle,de,Antoniorrobles,8.0,441351.0,4482169.0,T,"125, 135, 165, 166"
Pº CHOPERA-PZA.GRAL.MAROTO,Paseo,de la,Chopera,2.0,440846.0,4471853.0,T,"6, 18, 78, 148, N12, N14"
CARAMUEL-ANTILLON,Calle,de,Caramuel,10.0,438410.0,4473791.0,T,"138, N18"
CARAMUEL-DOÑA MENCIA,Calle,de,Caramuel,10.0,438297.0,4473665.0,T,138
SEPULVEDA-GOTARRENDURA,Calle,de,Sepúlveda,10.0,437577.0,4473063.0,T,138
GUILLERMO DE OSMA-PZA.GRAL.MAROTO,Calle,de,Guillermo de Osma,2.0,440916.0,4471916.0,P,62
GUILLERMO DE OSMA-PZA.GRAL.MAROTO,Calle,de,Guillermo de Osma,2.0,440903.0,4471888.0,P,62
SEPULVEDA-CONC.FCO.J.JIMENEZ M.,Calle,de,Sepúlveda,10.0,436059.0,4472696.0,T,"138, N18"
RAFAEL FINAT-OSA DE LA VEGA,Calle,de,Rafael Finat,10.0,434494.0,4469887.0,T,139
BLAS CABRERA-AV. LAS AGUILAS,Calle,del,General Romero Basart,10.0,434291.0,4470626.0,T,"17, 139"
Cº DE LAS CRUCES-MASCARAQUE,Cmno,de las,Cruces,11.0,435936.0,4469776.0,T,139
Cº DE LAS CRUCES-JOSE JORDAN,Cmno,de las,Cruces,11.0,435778.0,4469562.0,T,139
BALTASAR SANTOS,Calle,de,Baltasar Santos,13.0,444147.0,4472861.0,T,141
VALDEBERNARDO-HACIENDA PAVONES,Calle,de,Valdebernardo,14.0,446462.0,4472515.0,T,"8, 20"
FUENTELVIEJO-FUENCEMILLÁN,Calle,de,Fuentelviejo,20.0,451781.0,4477889.0,T,"77, 167"
NANCLARES DE OCA-ARCAUTE,Calle,de,Nanclares de Oca,20.0,450902.0,4477405.0,T,"77, 167"
AV.SEGUNDA-CALLE DIEZ,Avda, ,Segunda,20.0,449712.0,4477604.0,T,"77, N5"
NURIA-PEÑA SIRIO,Calle,de,Nuria,8.0,440339.0,4482804.0,T,"133, N23"
CERRO DEL CASTAÑAR-LA MASO,Calle,del,Cerro del Castañar,8.0,439661.0,4482804.0,T,"133, 134"
MONFORTE DE LEMOS-PARQUE BOMBEROS,Avda,de,Monforte de Lemos,8.0,440727.0,4481488.0,T,"134, 137"
LA MASO-AV.CARDENAL HERRERA ORIA,Calle,de,La Maso,8.0,439584.0,4481908.0,T,134
LA MASO-SALOU,Calle,de,La Maso,8.0,439589.0,4482231.0,T,134
LA MASO-HOSPITAL RUBER INTERNACIONAL,Calle,de,La Maso,8.0,439605.0,4482506.0,T,134
LA MASO-MARBELLA,Calle,de,La Maso,8.0,440162.0,4483153.0,T,"134, N23"
COSTA BRAVA-LA MASO,Calle,de la,Costa Brava,8.0,440401.0,4483369.0,T,"134, 178, N23"
Cº HORMIGUERAS-TORRE DE DON MIGUEL,Cmno,de las,Hormigueras,18.0,445335.0,4469705.0,T,"130, T31"
STO.A.DE LA GUARDA-GRAL.HIERRO MTNEZ.,Avda,de,Santo Ángel de la Guarda,9.0,439701.0,4479253.0,T,"126, 127, 132, N21"
AV.PABLO IGLESIAS-ALEJANDRO RGUEZ.,Avda,de,Pablo Iglesias,6.0,439748.0,4478901.0,T,"127, 132, N21"
Cº DEL CHORRILLO,Cmno,del,Chorrillo,6.0,439782.0,4480155.0,T,128
CNO. DEL CHORRILLO,Cmno,del,Chorrillo,6.0,439790.0,4480115.0,T,128
AV.BURGOS Nº 30,Avda,de,Burgos,5.0,442852.0,4481389.0,T,"129, 150"
AV.SAN LUIS-AV.BURGOS,Avda,de,San Luis,5.0,442905.0,4481521.0,T,"129, 150"
AV.SAN LUIS-SERRANO GALVACHE,Avda,de,San Luis,15.0,443241.0,4481168.0,T,"129, 150"
ARTURO SORIA Nº 329,Calle,de,Arturo Soria,15.0,443556.0,4481499.0,T,"125, 129, 150, N1"
AV.SAN LUIS-SERRANO GALVACHE,Avda,de,San Luis,15.0,443256.0,4481195.0,T,"129, 150"
CONDE DE PEÑALVER-DIEGO DE LEON,Calle,del,Conde de Peñalver,4.0,442850.0,4476370.0,T,56
DR.ESQUERDO-AV.NAZARET,Calle,del,Doctor Esquerdo,3.0,443261.0,4473796.0,T,"56, 143, 156, NC1"
DR.ESQUERDO-PZA.CONDE CASAL,Calle,del,Doctor Esquerdo,3.0,443230.0,4473377.0,T,"56, 143, 156"
DR.ESQUERDO-CAVANILLES,Calle,del,Doctor Esquerdo,3.0,443072.0,4473019.0,T,"56, 156"
SIERRA DEL CADI-AV.ALBUFERA,Calle,de,Sierra de Cadi,13.0,444073.0,4471831.0,T,"57, N10"
CARLOS MARTIN ALVAREZ-JAVIER MIGUEL,Calle,de,Carlos Martín Álvarez,13.0,443750.0,4471397.0,T,57
AV.PQUE.PALOMERAS BAJAS-ROMEO Y JULIETA,Avda,del,Parque de Palomeras Bajas,13.0,443974.0,4470368.0,T,"57, 144"
AV.PABLO NERUDA-VILLALOBOS,Avda,de,Pablo Neruda,13.0,444817.0,4470522.0,T,"10, 57, 144"
AV.PABLO NERUDA-LAGO CALAFATE,Avda,de,Pablo Neruda,13.0,445077.0,4470699.0,T,57
RAFAEL ALBERTI-SAN CLAUDIO,Avda,de,Rafael Alberti,13.0,445826.0,4471307.0,T,"54, 144"
AVDA. PABLO NERUDA,Calle,del,Lago Calafate,13.0,445045.0,4470718.0,T,57
AV.BUENOS AIRES-MOGAMBO,Avda,de,Buenos Aires,13.0,444671.0,4470326.0,T,57
AV.PABLO NERUDA-TRISTANA,Avda,de,Pablo Neruda,13.0,444629.0,4470490.0,T,"136, 144, N11"
AV.MEDITERRANEO-CASTRILLO DE AZA,Avda,de,Santa Eugenia,18.0,448497.0,4471048.0,T,"58, 63"
MARTINEZ DE LA RIVA-DILIGENCIA,Calle,de,Martínez de la Riva,13.0,443802.0,4470685.0,T,"57, 144, N11"
CARLOS MARTIN ALVAREZ-JAVIER DE MIGUEL,Calle,de,Carlos Martín Álvarez,13.0,443749.0,4471343.0,T,57
AVENA-HENO,Calle,del,Heno,12.0,439336.0,4470149.0,T,78
FTE.CARRANTONA-LUIS HOYOS SAINZ,Calle,de la,Fuente Carrantona,14.0,446256.0,4472935.0,T,"100, 140, E4, N8"
FTE.CARRANTONA-HACIENDA PAVONES,Calle,de la,Fuente Carrantona,14.0,446132.0,4472700.0,T,"100, 140"
Pº ALAMEDA OSUNA-PQUE.CAPRICHO,Paseo,de la,Alameda de Osuna,21.0,449383.0,4478608.0,T,"101, 105, 151"
CARABELA-BALANDRO,Calle,de la,Carabela,21.0,450131.0,4478679.0,T,"101, 151"
CARABELA-GALEON,Calle,de la,Carabela,21.0,450389.0,4478687.0,T,"101, 114, 166"
CTRA.CIRCUNVALACION-ZODIACO,Avda,de la,Hispanidad,21.0,451338.0,4480976.0,T,101
PZA.MAYOR DE BARAJAS,Plaza,de los,Hermanos Falco y Álvarez de Toledo,21.0,451168.0,4480740.0,T,"101, 105, 115"
ACUARIO-PENELOPE,Calle,de,Acuario,21.0,450941.0,4480878.0,T,101
BERGANTIN-GALEON,Calle,del,Bergantín,21.0,450772.0,4479073.0,T,"114, N4"
AV.CANTABRIA-PZA.GOLETA,Avda,de,Cantabria,21.0,450673.0,4479113.0,T,"114, N4"
