centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;dat_codigo;dat_nombre;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;direccion_coor_x;direccion_coor_y;fecha_constitución
28082599;LAR;3;EEI;ESCUELA INFANTIL;PRIVADO;VIOLETE&XOANIÑA, S.L;5;Madrid-Capital;28045.0;79;Madrid;2.0;Arganzuela;441846.0;4475551.5;2024-12-16
28082605;INKOR FORMACIÓN;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;INNOVACIÓN Y COORDINACIÓN EN ESTRATEGIAS FORMATIVAS, S.L.;5;Madrid-Capital;28020.0;79;Madrid;6.0;Tetuán;440440.0;4478432.0; 
28082617;INSTALACIONES DEPENDIENTES DEL ISMIE;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;5;Madrid-Capital;28038.0;79;Madrid;13.0;Puente de Vallecas;441846.0;4475551.5; 
28082629;CEIPSO Nº1, BARRIO DE EL CAÑAVERAL;70;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;5;Madrid-Capital;28028.0;79;Madrid;19.0;Vicálvaro;441846.0;4475551.5; 
28300001;COLORIN COLORADO;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28816.0;32;Camarma de Esteruelas;0.0;Sin distrito;468068.5;4488561.5;2006-04-19
28300013;FEDERICO GARCIA LORCA;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28890.0;75;Loeches;0.0;Sin distrito;464930.0;4470391.0;2006-04-19
28300025;FRESNO DE TOROTE;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;28815.0;57;Fresno de Torote;0.0;Sin distrito;466326.0;4496851.0;2008-07-28
28300037;LOS ALMENDROS;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28810.0;172;Villalbilla;0.0;Sin distrito;470099.0;4477542.0;2007-06-14
28300049;FUENTE EL SAZ;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;1;Madrid-Norte;28140.0;59;Fuente el Saz de Jarama;0.0;Sin distrito;455883.0;4497965.0;2007-10-28
28300050;SANTA CECILIA;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;1;Madrid-Norte;28710.0;86;Molar, El;0.0;Sin distrito;450944.0;4509842.0;2006-04-19
28300062;TORRELAGUNA;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;1;Madrid-Norte;28180.0;151;Torrelaguna;0.0;Sin distrito;454412.0;4519640.0;2008-07-28
28300074;CARACOL COL COL;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;28350.0;40;Ciempozuelos;0.0;Sin distrito;446615.0;4445318.0; 
28300086;MOMO;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;2;Madrid-Sur;28981.0;106;Parla;0.0;Sin distrito;434835.0;4454186.0;2006-04-19
28300098;SOL Y LUNA;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;28694.0;51;Chapinería;0.0;Sin distrito;396680.0;4470673.0;2008-11-19
28300104;VALDEMORO Nº 4;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;28340.0;161;Valdemoro;0.0;Sin distrito;441876.0;4449049.0;2006-04-19
28300116;VALLE INCLAN;302;AULA.C.N. EN E.I.;AULA DE CASA DE NIÑOS EN E.I.;PÚBLICO;AYUNTAMIENTO;2;Madrid-Sur;28913.0;74;Leganés;0.0;Sin distrito;434278.0;4465211.0;2006-04-19
28600008;AYUNTAMIENTO DE EL MOLAR;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;1;Madrid-Norte;28710.0;86;Molar, El;0.0;Sin distrito;450944.0;4509842.0; 
28600011;AYUNTAMIENTO DE PEDREZUELA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;1;Madrid-Norte;28723.0;108;Pedrezuela;0.0;Sin distrito;449278.0;4510845.0; 
28600021;AYUNTAMIENTO DE SAN AGUSTIN DE GUADALIX;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;1;Madrid-Norte;28750.0;129;San Agustín del Guadalix;0.0;Sin distrito;447766.0;4503226.0; 
28600033;AYUNTAMIENTO DE SAN SEBASTIAN DE LOS REYES;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;1;Madrid-Norte;28702.0;134;San Sebastián de los Reyes;0.0;Sin distrito;446836.5;4489529.5; 
28600045;AYUNTAMIENTO DE ALCALA DE HENARES;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28806.0;5;Alcalá de Henares;0.0;Sin distrito;468838.5;4481732.0; 
28600057;AYUNTAMIENTO DE ARGANDA DEL REY;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28500.0;14;Arganda del Rey;0.0;Sin distrito;462073.0;4461592.0; 
28600069;AYUNTAMIENTO DE COSLADA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28821.0;49;Coslada;0.0;Sin distrito;453316.0;4475092.5; 
28600070;AYUNTAMIENTO DE LOS SANTOS DE LA HUMOSA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28817.0;137;Santos de la Humosa, Los;0.0;Sin distrito;478147.0;4483367.0; 
28600082;AYUNTAMIENTO DE TORREJON DE ARDOZ;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;3;Madrid-Este;28850.0;148;Torrejón de Ardoz;0.0;Sin distrito;460263.0;4478715.0; 
28600094;AYUNTAMIENTO DE COLLADO VILLALBA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO;4;Madrid-Oeste;28400.0;47;Collado Villalba;0.0;Sin distrito;414982.0;4498363.0; 
28600100;AYUNTAMIENTO DE EL ESCORIAL;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE EL ESCORIAL;4;Madrid-Oeste;28280.0;54;Escorial, El;0.0;Sin distrito;404853.0;4492908.0; 
28600112;AYUNTAMIENTO DE GALAPAGAR;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE GALAPAGAR;4;Madrid-Oeste;28260.0;61;Galapagar;0.0;Sin distrito;415450.0;4493011.0; 
28600124;AYUNTAMIENTO DE GUADARRAMA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE GUADARRAMA;4;Madrid-Oeste;28440.0;68;Guadarrama;0.0;Sin distrito;408077.0;4502364.5; 
28600136;AYUNTAMIENTO DE MAJADAHONDA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE MAJADAHONDA;4;Madrid-Oeste;28220.0;80;Majadahonda;0.0;Sin distrito;426287.0;4480345.0; 
28600148;AYUNTAMIENTO DE POZUELO DE ALARCON;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE POZUELO DE ALARCON;4;Madrid-Oeste;28223.0;115;Pozuelo de Alarcón;0.0;Sin distrito;431662.0;4476825.0; 
28600151;AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL;4;Madrid-Oeste;28200.0;131;San Lorenzo de El Escorial;0.0;Sin distrito;403224.0;4494534.0; 
28600161;AYUNTAMIENTO DE TORRELODONES;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE TORRELODONES;4;Madrid-Oeste;28250.0;152;Torrelodones;0.0;Sin distrito;420768.0;4492170.5; 
28600173;AYUNTAMIENTO DE VILLANUEVA DE LA CAÑADA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE VILLANUEVA DE LA CAÑADA;4;Madrid-Oeste;28691.0;176;Villanueva de la Cañada;0.0;Sin distrito;415793.0;4478347.0; 
28600185;AYUNTAMIENTO DE BRUNETE;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE BRUNETE;2;Madrid-Sur;28690.0;26;Brunete;0.0;Sin distrito;415471.0;4473335.0; 
28600197;AYUNTAMIENTO DE LEGANES;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE LEGANES;2;Madrid-Sur;28914.0;74;Leganés;0.0;Sin distrito;435659.5;4465071.0; 
28600203;AYUNTAMIENTO DE PINTO;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE PINTO;2;Madrid-Sur;28320.0;113;Pinto;0.0;Sin distrito;440789.0;4455583.0; 
28600215;AYUNTAMIENTO DE SAN MARTIN DE VALDEIGLESIAS;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE SAN MARTIN DE VALDEIGLESIAS;2;Madrid-Sur;28680.0;133;San Martín de Valdeiglesias;0.0;Sin distrito;381206.0;4469047.0; 
28600227;AYUNTAMIENTO DE VILLAMANTILLA;301;PCPI FUERA CEN.;P.C.P.I. FUERA DE CENTRO;PÚBLICO;AYUNTAMIENTO DE VILLAMANTILLA;2;Madrid-Sur;28609.0;175;Villamantilla;0.0;Sin distrito;404202.0;4466461.0; 
